date,price,sentiment
12/9/2010,319.76,2.569133213
12/10/2010,320.56,98.03926333
12/13/2010,321.67,94.00421642
12/14/2010,320.29,92.72254685
12/15/2010,320.36,92.72254685
12/16/2010,321.25,92.72254685
12/17/2010,320.61,99.43311023
12/20/2010,322.21,27.42538063
12/21/2010,324.2,13.03940689
12/22/2010,325.16,27.7222074
12/23/2010,323.6,-74.80833489
12/27/2010,324.68,49.14819357
12/28/2010,325.47,39.64660056
12/29/2010,325.29,86.46504185
12/31/2010,322.56,67.4232431
1/3/2011,329.57,29.10895602
1/4/2011,331.29,26.90103937
1/5/2011,334,46.74476987
1/6/2011,333.73,60.59120845
1/7/2011,336.12,62.21508011
1/10/2011,342.45,56.7846937
1/11/2011,341.64,52.4278835
1/12/2011,344.42,49.08202972
1/13/2011,345.68,54.46263993
1/14/2011,348.48,57.84948159
1/18/2011,340.65,43.11229118
1/19/2011,338.84,48.1532746
1/20/2011,332.68,61.77204339
1/21/2011,326.72,68.72246064
1/24/2011,337.45,82.50631046
1/25/2011,341.4,85.19475557
1/26/2011,343.85,77.53776874
1/27/2011,343.21,75.21123862
1/28/2011,336.1,72.14473668
1/31/2011,339.32,66.08451167
2/1/2011,345.03,64.96896113
2/2/2011,344.32,63.44001937
2/3/2011,343.44,71.65776963
2/4/2011,346.5,71.0218561
2/7/2011,351.88,53.97709222
2/8/2011,355.2,53.81050395
2/9/2011,358.16,55.73922729
2/10/2011,354.54,59.99412691
2/11/2011,356.85,56.43886689
2/14/2011,359.18,22.8466598
2/15/2011,359.9,46.84628447
2/16/2011,363.13,56.37558455
2/17/2011,358.3,57.50333947
2/18/2011,350.56,65.06354504
2/22/2011,338.61,48.16474479
2/23/2011,342.62,42.28855586
2/24/2011,342.88,48.28223878
2/25/2011,348.16,52.12805413
2/28/2011,353.21,71.71757821
3/1/2011,349.31,51.43779548
3/2/2011,352.12,43.1733816
3/3/2011,359.56,37.2936892
3/4/2011,360,37.19147675
3/7/2011,355.36,60.34391097
3/8/2011,355.76,47.96846371
3/9/2011,352.47,48.59772346
3/10/2011,346.67,46.28761258
3/11/2011,351.99,35.6023887
3/14/2011,353.56,22.66547249
3/15/2011,345.43,34.81880456
3/16/2011,330.01,31.31494721
3/17/2011,334.64,41.58389891
3/18/2011,330.67,68.34411507
3/21/2011,339.3,53.54884853
3/22/2011,341.2,36.71999947
3/23/2011,339.19,55.85338859
3/24/2011,344.97,53.52474747
3/25/2011,351.54,52.05641223
3/28/2011,350.44,36.14008324
3/29/2011,350.96,28.68538986
3/30/2011,348.63,44.97886267
3/31/2011,348.51,38.70064075
4/1/2011,344.56,49.20729115
4/4/2011,341.19,55.36386797
4/5/2011,338.89,33.50432014
4/6/2011,338.04,19.454101
4/7/2011,338.08,28.84659565
4/8/2011,335.06,44.2356259
4/11/2011,330.8,44.00451436
4/12/2011,332.4,43.84184779
4/13/2011,336.13,18.16613612
4/14/2011,332.42,34.53128862
4/15/2011,327.46,31.16708948
4/18/2011,331.85,36.14058497
